no_factura,Nombre del cliente,Dirección,Total con iva,Tienda,Fecha
A18239,Liam Davis,789 Oak Lane,13516,Tienda A,17/8/2020
A18240,Olivia Johnson,555 Maple Drive,10265,Tienda B,1/6/2020
A18241,Noah Smith,987 Cedar Court,7095,Tienda C,5/11/2020
A18242,Emma Davis,123 Main Street,9795,Tienda A,7/1/2020
A18243,Ava Wilson,456 Elm Avenue,10655,Tienda B,14/10/2020
A18244,William Thompson,789 Oak Lane,14640,Tienda C,30/6/2020
A18245,Sophia Anderson,321 Pine Road,8307,Tienda A,26/8/2020
A18246,James Brown,555 Maple Drive,10376,Tienda B,21/10/2020
A18247,Isabella Miller,987 Cedar Court,8031,Tienda C,10/4/2020
A18248,Benjamin Taylor,246 Walnut Street,12121,Tienda A,10/1/2020
A18249,Sofia Lee,654 Birch Lane,11594,Tienda B,21/7/2020
A18250,Ethan Johnson,321 Pine Road,6516,Tienda C,8/7/2020
A18251,Olivia Davis,247 Walnut Street,14380,Tienda A,8/6/2020
A18252,Liam Thompson,655 Birch Lane,12074,Tienda B,19/5/2020
A18253,Ava Anderson,322 Pine Road,14584,Tienda C,31/1/2020
A18254,Noah Wilson,248 Walnut Street,12557,Tienda A,30/7/2020
A18255,Isabella Smith,656 Birch Lane,6553,Tienda B,21/7/2020
A18256,Jackson Brown,323 Pine Road,8437,Tienda C,18/6/2020
A18257,Mia Miller,249 Walnut Street,13375,Tienda A,9/10/2020
A18258,Aiden Davis,657 Birch Lane,9857,Tienda B,18/3/2020
A18259,John Johnson,324 Pine Road,14391,Tienda C,9/11/2020
A18260,John Doe,250 Walnut Street,6759,Tienda A,4/10/2020
A18261,Jane Smith,658 Birch Lane,6639,Tienda B,10/2/2020
A18262,David Johnson,325 Pine Road,7684,Tienda C,19/11/2020
A18263,Sarah Brown,251 Walnut Street,11569,Tienda A,23/4/2020
A18264,Michael Wilson,659 Birch Lane,10838,Tienda B,31/5/2020
A18265,Emily Davis,326 Pine Road,10250,Tienda C,2/5/2020
A18266,Mark Thompson,252 Walnut Street,6477,Tienda A,24/3/2020
A18267,Michelle Anderson,660 Birch Lane,11617,Tienda B,19/3/2020
A18268,Andrew Davis,327 Pine Road,14771,Tienda C,25/2/2020
A18269,Jennifer Lee,253 Walnut Street,8199,Tienda A,11/4/2020
A18270,Brian Wilson,661 Birch Lane,9235,Tienda B,31/1/2020
A18271,Laura Miller,124 Main Street,14709,Tienda C,14/8/2020
A18272,Robert Johnson,457 Elm Avenue,10006,Tienda A,25/10/2020
A18273,Mary Davis,790 Oak Lane,7907,Tienda B,6/8/2020
A18274,Christopher Brown,322 Pine Road,10426,Tienda C,11/10/2020
A18275,Elizabeth Smith,556 Maple Drive,9807,Tienda A,30/5/2020
A18276,Daniel Wilson,988 Cedar Court,5734,Tienda B,21/2/2020
A18277,Jessica Davis,247 Walnut Street,13009,Tienda C,16/3/2020
A18278,Matthew Thompson,655 Birch Lane,11389,Tienda A,18/9/2020
A18279,Amanda Anderson,322 Pine Road,11527,Tienda B,21/9/2020
A18280,Steven Davis,790 Oak Lane,12939,Tienda C,9/11/2020
A18281,Liam Johnson,556 Maple Drive,8304,Tienda A,7/8/2020
A18282,Olivia Smith,988 Cedar Court,14795,Tienda B,20/4/2020
A18283,Noah Davis,124 Main Street,5734,Tienda C,2/1/2020
A18284,Emma Wilson,457 Elm Avenue,11520,Tienda A,7/8/2020
A18285,Ava Thompson,790 Oak Lane,10607,Tienda B,23/3/2020
A18286,William Anderson,322 Pine Road,10702,Tienda C,3/1/2020
A18287,Sophia Brown,556 Maple Drive,12473,Tienda A,3/2/2020
A18288,James Miller,988 Cedar Court,14906,Tienda B,21/6/2020
A18289,Isabella Taylor,247 Walnut Street,12646,Tienda C,14/1/2020
A18290,Benjamin Lee,655 Birch Lane,8815,Tienda A,29/7/2020
A18291,Sofia Johnson,322 Pine Road,12853,Tienda B,2/7/2020
A18292,Ethan Davis,248 Walnut Street,11646,Tienda C,1/11/2020
A18293,Olivia Thompson,656 Birch Lane,14498,Tienda A,24/10/2020
A18294,Liam Anderson,323 Pine Road,8537,Tienda B,10/9/2020
A18295,Ava Wilson,249 Walnut Street,11779,Tienda C,29/4/2020
A18296,Noah Smith,657 Birch Lane,5824,Tienda A,15/1/2020
A18297,Isabella Brown,324 Pine Road,9088,Tienda B,11/2/2020
A18298,Jackson Miller,250 Walnut Street,9583,Tienda C,13/4/2020
A18299,Mia Davis,658 Birch Lane,7752,Tienda A,21/7/2020
A18300,Aiden Johnson,325 Pine Road,9089,Tienda B,3/6/2020
A18301,Jane Doe,251 Walnut Street,11080,Tienda C,15/9/2020
A18302,David Smith,659 Birch Lane,6308,Tienda A,4/3/2020
A18303,Sarah Johnson,326 Pine Road,8825,Tienda B,26/2/2020
A18304,Michael Brown,252 Walnut Street,8612,Tienda C,17/10/2020
A18305,Emily Wilson,660 Birch Lane,7722,Tienda A,24/4/2020
A18306,Mark Davis,327 Pine Road,5341,Tienda B,1/7/2020
A18307,Michelle Thompson,253 Walnut Street,11167,Tienda C,28/2/2020
A18308,Andrew Anderson,661 Birch Lane,13965,Tienda A,21/7/2020
A18309,Jennifer Davis,328 Pine Road,6289,Tienda B,20/8/2020
A18310,Brian Lee,254 Walnut Street,7430,Tienda C,18/10/2020
A18311,Laura Wilson,662 Birch Lane,14438,Tienda A,7/4/2020
